"Entity Name","Attribute Is PK","Attribute Is FK","Attribute Required","Attribute Name","Entity Id","Child Relationship Id","Child Relationship Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Cardinality","Child Relationship Null Option","Parent Entity Name","Parent Entity Id","Parent Relationship Id","Parent Relationship Name","Parent Relationship Parent to Child Phrase","Parent Relationship Child to Parent Phrase","Parent Relationship Cardinality","Parent Relationship Parent to Child Rule","Parent Relationship Child to Parent Rule","Child Entity Id","Child Entity Name"
RCIVIL.VT_VINCULOS,,,,,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,{9454ED0B-A343-4B02-9835-3337010B1D40}+00000000,R/54,"A RCIVIL.VT_VINCULOS is associated with zero, one or more T_USR_LLAMA_102s.","A T_USR_LLAMA_102 is associated with zero or one RCIVIL.VT_VINCULOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_VINCULOS,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,,,,,,,,,
RCIVIL.VT_VINCULOS,,,,,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,{4E8A2CF6-AA5D-4741-9CF5-57CF3B87FB0C}+00000000,R/65,"A RCIVIL.VT_VINCULOS is associated with zero, one or more T_IMPLICADOS_LLAMADA_102s.","A T_IMPLICADOS_LLAMADA_102 is associated with zero or one RCIVIL.VT_VINCULOSs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",RCIVIL.VT_VINCULOS,{C5654A77-98A2-4D1B-ADB5-82313DCA158F}+00000000,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,FEC_ALTA,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,{BB7B44DC-8DFB-4440-99A4-E8EE31C45867}+00000000,R/72,"A T_AGRUPAMIENTOS_DELITO is associated with zero, one or more T_TIPOS_DELITOs.","A T_TIPOS_DELITO is associated with zero or one T_AGRUPAMIENTOS_DELITOs.",Zero-or-One-to-Zero-One-or-More,"Nulls Allowed",T_AGRUPAMIENTOS_DELITO,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,FEC_BAJA,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,FEC_MODIF,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,Yes,No,Yes,ID_AGRUPAMIENTO_DELITO,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,N_AGRUPAMIENTO_DELITO,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,USR_ALTA,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,USR_BAJA,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
T_AGRUPAMIENTOS_DELITO,No,No,No,USR_MODIF,{3D7FC8C1-3028-4E56-9A40-1653F4918A6F}+00000000,,,,,,,,,,,,,,,,,
